commit	name	start	end	lines	destination	visibility	evidence	unresolved_callers	callers
1f1d2daa	create	38767	39647	881	runtime/launch.rs	pub(crate)	inferred; minimum for listed candidate callers	10	"[{""file"": ""src/diagnostics.rs"", ""line"": 358, ""symbol"": ""diagnostics::append_note"", ""destination"": ""src/diagnostics.rs"", ""expression"": ""std::fs::OpenOptions::new()\n        .create"", ""evidence"": ""receiver-unresolved""}, {""file"": ""src/main.rs"", ""line"": 29698, ""symbol"": ""dump_chrome_frame"", ""destination"": ""src/main.rs"", ""expression"": ""std::fs::OpenOptions::new()\n        .create"", ""evidence"": ""receiver-unresolved""}, {""file"": ""src/main.rs"", ""line"": 29804, ""symbol"": ""dump_overlay_frame"", ""destination"": ""src/main.rs"", ""expression"": ""std::fs::OpenOptions::new()\n        .create"", ""evidence"": ""receiver-unresolved""}, {""file"": ""src/main.rs"", ""line"": 118676, ""symbol"": ""impl ApplicationHandler<AppEvent> for FolioApp::resumed"", ""destination"": ""src/main.rs"", ""expression"": ""Runtime::create"", ""evidence"": ""receiver-unresolved""}, {""file"": ""src/main.rs"", ""line"": 125522, ""symbol"": ""append_panic_report"", ""destination"": ""src/main.rs"", ""expression"": ""OpenOptions::new().create"", ""evidence"": ""receiver-unresolved""}, {""file"": ""src/profiles.rs"", ""line"": 2854, ""symbol"": ""profiles::create"", ""destination"": ""src/profiles.rs"", ""expression"": ""registry().create"", ""evidence"": ""receiver-unresolved""}, {""file"": ""src/profiles.rs"", ""line"": 23945, ""symbol"": ""profiles::tests::a_new_profile_wears_the_chassis_and_a_duplicate_wears_the_brand"", ""destination"": ""src/profiles.rs"", ""expression"": ""registry.create"", ""evidence"": ""receiver-unresolved""}, {""file"": ""src/profiles.rs"", ""line"": 23973, ""symbol"": ""profiles::tests::a_new_profile_wears_the_chassis_and_a_duplicate_wears_the_brand"", ""destination"": ""src/profiles.rs"", ""expression"": ""registry.create"", ""evidence"": ""receiver-unresolved""}, {""file"": ""src/shell_integration/profile_marks.rs"", ""line"": 426, ""symbol"": ""shell_integration::profile_marks::lock"", ""destination"": ""src/shell_integration/profile_marks.rs"", ""expression"": ""fs::OpenOptions::new()\n        .read(true)\n        .write(true)\n        .create"", ""evidence"": ""receiver-unresolved""}, {""file"": ""src/trace.rs"", ""line"": 69, ""symbol"": ""trace::impl TraceFile::open"", ""destination"": ""src/trace.rs"", ""expression"": ""OpenOptions::new()\n                        .create"", ""evidence"": ""receiver-unresolved""}]"
1f1d2daa	open_window	39676	40151	476	runtime/windows.rs	pub(crate)	inferred; minimum for listed candidate callers	1	"[{""file"": ""src/main.rs"", ""line"": 116403, ""symbol"": ""impl FolioApp::open_pending_window"", ""destination"": ""src/main.rs"", ""expression"": ""Runtime::open_window"", ""evidence"": ""receiver-unresolved""}]"
1f1d2daa	dress_new_window	40160	40219	60	runtime/windows.rs	pub(in crate::runtime)	inferred; minimum for listed candidate callers	2	"[{""file"": ""src/main.rs"", ""line"": 39589, ""symbol"": ""impl Runtime<'_>::create"", ""destination"": ""runtime/launch.rs"", ""expression"": ""runtime.dress_new_window"", ""evidence"": ""receiver-unresolved""}, {""file"": ""src/main.rs"", ""line"": 40114, ""symbol"": ""impl Runtime<'_>::open_window"", ""destination"": ""runtime/windows.rs"", ""expression"": ""runtime.dress_new_window"", ""evidence"": ""receiver-unresolved""}]"
1f1d2daa	show_new_window	40223	40225	3	runtime/windows.rs	pub(crate)	inferred; minimum for listed candidate callers	3	"[{""file"": ""src/main.rs"", ""line"": 39607, ""symbol"": ""impl Runtime<'_>::create"", ""destination"": ""runtime/launch.rs"", ""expression"": ""runtime.show_new_window"", ""evidence"": ""receiver-unresolved""}, {""file"": ""src/main.rs"", ""line"": 40145, ""symbol"": ""impl Runtime<'_>::open_window"", ""destination"": ""runtime/windows.rs"", ""expression"": ""runtime.show_new_window"", ""evidence"": ""receiver-unresolved""}, {""file"": ""src/main.rs"", ""line"": 117376, ""symbol"": ""impl FolioApp::settle_tear_out"", ""destination"": ""src/main.rs"", ""expression"": ""runtime.show_new_window"", ""evidence"": ""receiver-unresolved""}]"
1f1d2daa	show_quake_window	40252	40314	63	runtime/quake.rs	pub(crate)	inferred; minimum for listed candidate callers	1	"[{""file"": ""src/main.rs"", ""line"": 117265, ""symbol"": ""impl FolioApp::summon_quake"", ""destination"": ""src/main.rs"", ""expression"": ""runtime.show_quake_window"", ""evidence"": ""receiver-unresolved""}]"
1f1d2daa	queue_typing_in_the_focused_pane	40326	40334	9	runtime/focus.rs	pub(crate)	inferred; minimum for listed candidate callers	1	"[{""file"": ""src/main.rs"", ""line"": 117307, ""symbol"": ""impl FolioApp::summon_quake"", ""destination"": ""src/main.rs"", ""expression"": ""runtime.queue_typing_in_the_focused_pane"", ""evidence"": ""receiver-unresolved""}]"
1f1d2daa	hide_quake_window	40346	40351	6	runtime/quake.rs	pub(crate)	inferred; minimum for listed candidate callers	1	"[{""file"": ""src/main.rs"", ""line"": 117320, ""symbol"": ""impl FolioApp::dismiss_quake"", ""destination"": ""src/main.rs"", ""expression"": ""runtime.hide_quake_window"", ""evidence"": ""receiver-unresolved""}]"
1f1d2daa	put_the_window_on_the_glass	40355	40389	35	runtime/windows.rs	pub(in crate::runtime)	inferred; minimum for listed candidate callers	0	"[{""file"": ""src/main.rs"", ""line"": 40224, ""symbol"": ""impl Runtime<'_>::show_new_window"", ""destination"": ""runtime/windows.rs"", ""expression"": ""self.put_the_window_on_the_glass"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 40305, ""symbol"": ""impl Runtime<'_>::show_quake_window"", ""destination"": ""runtime/quake.rs"", ""expression"": ""self.put_the_window_on_the_glass"", ""evidence"": ""direct-self""}]"
1f1d2daa	is_quake_window	40398	40400	3	runtime/quake.rs	pub(crate)	inferred; minimum for listed candidate callers	2	"[{""file"": ""src/main.rs"", ""line"": 40180, ""symbol"": ""impl Runtime<'_>::dress_new_window"", ""destination"": ""runtime/windows.rs"", ""expression"": ""self.is_quake_window"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 41545, ""symbol"": ""impl Runtime<'_>::refresh_chrome_with_overlay"", ""destination"": ""runtime/floats.rs"", ""expression"": ""self.is_quake_window"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 42438, ""symbol"": ""impl Runtime<'_>::refresh_chrome_with_overlay"", ""destination"": ""runtime/floats.rs"", ""expression"": ""self.is_quake_window"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 42645, ""symbol"": ""impl Runtime<'_>::rebuild_tooltip_anchors"", ""destination"": ""runtime/tooltips.rs"", ""expression"": ""self.is_quake_window"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 51035, ""symbol"": ""impl Runtime<'_>::window_snapshot"", ""destination"": ""runtime/windows.rs"", ""expression"": ""self.is_quake_window"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 52235, ""symbol"": ""impl Runtime<'_>::apply_always_on_top"", ""destination"": ""unassigned"", ""expression"": ""self.is_quake_window"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 91787, ""symbol"": ""impl Runtime<'_>::docked_chrome_target_at"", ""destination"": ""runtime/panes.rs"", ""expression"": ""self.is_quake_window"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 95517, ""symbol"": ""impl Runtime<'_>::chrome_mouse_input"", ""destination"": ""runtime/mouse.rs"", ""expression"": ""self.is_quake_window"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 96071, ""symbol"": ""impl Runtime<'_>::chrome_mouse_input"", ""destination"": ""runtime/mouse.rs"", ""expression"": ""self.is_quake_window"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 102878, ""symbol"": ""impl Runtime<'_>::remember_summoned_arrangement"", ""destination"": ""runtime/quake.rs"", ""expression"": ""self.is_quake_window"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 119212, ""symbol"": ""impl ApplicationHandler<AppEvent> for FolioApp::window_event"", ""destination"": ""src/main.rs"", ""expression"": ""runtime.is_quake_window"", ""evidence"": ""receiver-unresolved""}, {""file"": ""src/main.rs"", ""line"": 119391, ""symbol"": ""impl ApplicationHandler<AppEvent> for FolioApp::window_event"", ""destination"": ""src/main.rs"", ""expression"": ""runtime.is_quake_window"", ""evidence"": ""receiver-unresolved""}]"
1f1d2daa	platform_chrome	40427	40429	3	runtime/frame.rs	pub(in crate::runtime)	inferred; minimum for listed candidate callers	3	"[{""file"": ""src/main.rs"", ""line"": 39100, ""symbol"": ""impl Runtime<'_>::create"", ""destination"": ""runtime/launch.rs"", ""expression"": ""custom_window_frame.platform_chrome"", ""evidence"": ""receiver-unresolved""}, {""file"": ""src/main.rs"", ""line"": 39765, ""symbol"": ""impl Runtime<'_>::open_window"", ""destination"": ""runtime/windows.rs"", ""expression"": ""custom_window_frame.platform_chrome"", ""evidence"": ""receiver-unresolved""}, {""file"": ""src/main.rs"", ""line"": 40428, ""symbol"": ""impl Runtime<'_>::platform_chrome"", ""destination"": ""runtime/frame.rs"", ""expression"": ""self.window.custom_window_frame.platform_chrome"", ""evidence"": ""receiver-unresolved""}, {""file"": ""src/main.rs"", ""line"": 40629, ""symbol"": ""impl Runtime<'_>::new_tab_seeded_from"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 40657, ""symbol"": ""impl Runtime<'_>::reveal_tab"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 40957, ""symbol"": ""impl Runtime<'_>::reopen_recent"", ""destination"": ""runtime/windows.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 41127, ""symbol"": ""impl Runtime<'_>::answer_restore"", ""destination"": ""runtime/windows.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 41299, ""symbol"": ""impl Runtime<'_>::resolve_seat_layout"", ""destination"": ""runtime/panes.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 41312, ""symbol"": ""impl Runtime<'_>::resolve_seat_layout"", ""destination"": ""runtime/panes.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 41541, ""symbol"": ""impl Runtime<'_>::refresh_chrome_with_overlay"", ""destination"": ""runtime/floats.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 42442, ""symbol"": ""impl Runtime<'_>::refresh_chrome_with_overlay"", ""destination"": ""runtime/floats.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 42603, ""symbol"": ""impl Runtime<'_>::rebuild_tooltip_anchors"", ""destination"": ""runtime/tooltips.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 42643, ""symbol"": ""impl Runtime<'_>::rebuild_tooltip_anchors"", ""destination"": ""runtime/tooltips.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 45910, ""symbol"": ""impl Runtime<'_>::layout_peek_layer"", ""destination"": ""runtime/peek.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 46114, ""symbol"": ""impl Runtime<'_>::measure_open_rename"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 46139, ""symbol"": ""impl Runtime<'_>::measure_open_rename"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 46235, ""symbol"": ""impl Runtime<'_>::profile_menu_layout"", ""destination"": ""runtime/profiles.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 83119, ""symbol"": ""impl Runtime<'_>::trigger_rect"", ""destination"": ""unassigned"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 91730, ""symbol"": ""impl Runtime<'_>::tab_list_target_at"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 91741, ""symbol"": ""impl Runtime<'_>::tab_list_target_at"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 91752, ""symbol"": ""impl Runtime<'_>::tab_list_target_at"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 91785, ""symbol"": ""impl Runtime<'_>::docked_chrome_target_at"", ""destination"": ""runtime/panes.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 92400, ""symbol"": ""impl Runtime<'_>::strip_geometry"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 93392, ""symbol"": ""impl Runtime<'_>::layout_host_rect"", ""destination"": ""runtime/panes.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 94218, ""symbol"": ""impl Runtime<'_>::absorb_tab"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 94385, ""symbol"": ""impl Runtime<'_>::commit_row_into_new_tab"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 94556, ""symbol"": ""impl Runtime<'_>::move_pane_across_tabs"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 94672, ""symbol"": ""impl Runtime<'_>::extract_pane_into_new_tab"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 95513, ""symbol"": ""impl Runtime<'_>::chrome_mouse_input"", ""destination"": ""runtime/mouse.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 97443, ""symbol"": ""impl Runtime<'_>::follow_the_window_band"", ""destination"": ""runtime/windows.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 97486, ""symbol"": ""impl Runtime<'_>::focus_rail_geometry_at"", ""destination"": ""runtime/focus.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 99117, ""symbol"": ""impl Runtime<'_>::rail_geometry_now"", ""destination"": ""runtime/panes.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 99159, ""symbol"": ""impl Runtime<'_>::drive_rail_zone"", ""destination"": ""runtime/panes.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 99870, ""symbol"": ""impl Runtime<'_>::scroll_tab_strip"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 100425, ""symbol"": ""impl Runtime<'_>::mouse_wheel"", ""destination"": ""runtime/mouse.rs"", ""expression"": ""self.platform_chrome"", ""evidence"": ""direct-self""}]"
