name	status	was_destination	is_destination	was_lines	is_lines	moved_topic
a_gesture_holds_the_pointer	retained	runtime/mouse.rs	runtime/mouse.rs	23	23	False
a_modal_covers_the_window	retained	runtime/windows.rs	runtime/windows.rs	8	8	False
a_modal_holds_the_window	added		runtime/windows.rs		3	False
a_surface_above_the_clipboard_rung_holds_the_keyboard	retained	runtime/keyboard.rs	runtime/keyboard.rs	14	14	False
abandon_a_window_nothing_arrived_in	retained	runtime/windows.rs	runtime/windows.rs	16	8	False
absorb_tab	retained	runtime/tabs.rs	runtime/tabs.rs	73	73	False
activate_files_row	retained	runtime/files.rs	runtime/files.rs	17	17	False
activate_hyperlink	retained	runtime/frame.rs	runtime/frame.rs	129	151	False
activate_hyperlink_hover_if_due	retained	runtime/mouse.rs	runtime/mouse.rs	17	19	False
activate_local_image_path	retained	runtime/preview.rs	runtime/preview.rs	10	10	False
activate_peek_if_due	retained	runtime/peek.rs	runtime/peek.rs	6	6	False
activate_tab	retained	runtime/tabs.rs	runtime/tabs.rs	81	90	False
add_scheme	retained	runtime/settings.rs	runtime/settings.rs	54	54	False
add_to_profile	retained	runtime/profiles.rs	runtime/profiles.rs	34	34	False
adopt_application_change	retained	runtime/diagnostics.rs	runtime/diagnostics.rs	25	25	False
adopt_background_picture	retained	runtime/preview.rs	runtime/preview.rs	26	26	False
adopt_clipboard_picture	added		runtime/preview.rs		31	False
adopt_new_cursor_style	retained	runtime/mouse.rs	runtime/mouse.rs	6	6	False
adopt_new_language	retained	runtime/i18n.rs	runtime/i18n.rs	21	21	False
adopt_new_palette	retained	runtime/palette.rs	runtime/palette.rs	53	53	False
adopt_option_as_alt	retained	unassigned	unassigned	16	16	False
adopt_profile_table	retained	runtime/profiles.rs	runtime/profiles.rs	8	9	False
adopt_terminal_font	retained	runtime/terminal.rs	runtime/terminal.rs	36	36	False
advance_animations	retained	runtime/preview.rs	runtime/preview.rs	7	7	False
advance_card_hint	retained	runtime/focus.rs	runtime/focus.rs	8	16	False
advance_chevrons	retained	runtime/floats.rs	runtime/floats.rs	67	67	False
advance_command_flash	retained	unassigned	unassigned	12	19	False
advance_command_rails	retained	runtime/panes.rs	runtime/panes.rs	9	13	False
advance_cursor_blink_if_due	retained	runtime/keyboard.rs	runtime/keyboard.rs	26	26	False
advance_drag_autoscroll	gone	runtime/mouse.rs		53		False
advance_drag_spring	retained	runtime/mouse.rs	runtime/mouse.rs	16	16	False
advance_file_peek	retained	runtime/peek.rs	runtime/peek.rs	24	38	False
advance_files_watch	retained	runtime/files.rs	runtime/files.rs	61	61	False
advance_float	retained	runtime/floats.rs	runtime/floats.rs	63	77	False
advance_foot_reveal	retained	unassigned	unassigned	17	17	False
advance_git_watch	retained	runtime/git.rs	runtime/git.rs	34	34	False
advance_key_hint_if_due	retained	runtime/keyboard.rs	runtime/keyboard.rs	7	13	False
advance_layout_peek_if_due	retained	runtime/peek.rs	runtime/peek.rs	10	10	False
advance_live_math_if_due	retained	runtime/math.rs	runtime/math.rs	35	37	False
advance_math_toggle_if_due	added		runtime/math.rs		44	False
advance_math_tools_if_due	retained	runtime/math.rs	runtime/math.rs	7	31	False
advance_page_foot_clocks	retained	unassigned	unassigned	26	30	False
advance_pane_menu	retained	runtime/panes.rs	runtime/panes.rs	34	34	False
advance_preview_notice	retained	runtime/preview.rs	runtime/preview.rs	16	16	False
advance_preview_refusal	retained	runtime/preview.rs	runtime/preview.rs	13	13	False
advance_preview_watch	retained	runtime/preview.rs	runtime/preview.rs	10	10	False
advance_rename_blink_if_due	retained	runtime/tabs.rs	runtime/tabs.rs	9	9	False
advance_retirement	retained	unassigned	unassigned	17	17	False
advance_scheme_watch	retained	runtime/settings.rs	runtime/settings.rs	6	6	False
advance_storage_watch	retained	unassigned	unassigned	7	7	False
advance_strip_animation	retained	runtime/preview.rs	runtime/preview.rs	346	320	False
advance_tab_menu	retained	runtime/tabs.rs	runtime/tabs.rs	24	24	False
advance_tab_press_if_due	retained	runtime/tabs.rs	runtime/tabs.rs	16	16	False
advance_term_menu	retained	runtime/floats.rs	runtime/floats.rs	20	20	False
advance_terminal_thumbs	retained	runtime/focus.rs	runtime/focus.rs	11	15	False
advance_toasts	retained	runtime/attention.rs	runtime/attention.rs	7	22	False
advance_tooltip_if_due	retained	runtime/tooltips.rs	runtime/tooltips.rs	7	17	False
advance_web_page	retained	runtime/web.rs	runtime/web.rs	110	110	False
advanced_open	retained	unassigned	unassigned	10	10	False
after_current_hit_moved	retained	unassigned	unassigned	7	7	False
after_quiet_search_change	retained	runtime/search.rs	runtime/search.rs	3	3	False
after_search_change	retained	runtime/search.rs	runtime/search.rs	23	23	False
agent_is_on_this_machine	retained	runtime/attention.rs	runtime/attention.rs	6	6	False
aim_at_window	retained	runtime/windows.rs	runtime/windows.rs	3	3	False
aim_focus_card_window	retained	runtime/focus.rs	runtime/focus.rs	171	171	False
aim_preview_at_line	retained	runtime/preview.rs	runtime/preview.rs	11	11	False
aim_rail_at	retained	runtime/panes.rs	runtime/panes.rs	16	16	False
aimed_seat_kind	added		runtime/panes.rs		6	False
an_animation_is_running	retained	runtime/preview.rs	runtime/preview.rs	3	3	False
animated_surfaces	retained	unassigned	unassigned	5	5	False
animating_deadline	added		unassigned		4	False
animation_frame_is_due	added		runtime/preview.rs		7	False
animation_path_of	retained	runtime/preview.rs	runtime/preview.rs	7	7	False
animation_refusal_notice	retained	runtime/preview.rs	runtime/preview.rs	8	8	False
animation_running_on	retained	runtime/preview.rs	runtime/preview.rs	6	6	False
announce_checkout	retained	runtime/git.rs	runtime/git.rs	16	16	False
announce_keybindings_fault	retained	runtime/keyboard.rs	runtime/keyboard.rs	11	11	False
announce_persistence_faults	retained	unassigned	unassigned	17	17	False
announce_pins_fault	retained	unassigned	unassigned	11	11	False
announce_profiles_fault	retained	runtime/profiles.rs	runtime/profiles.rs	11	11	False
answer_attention	retained	runtime/attention.rs	runtime/attention.rs	21	21	False
answer_dirty_gate	retained	runtime/windows.rs	runtime/windows.rs	124	124	False
answer_first_run	retained	runtime/first_run.rs	runtime/first_run.rs	44	47	False
answer_psreadline_invite	retained	runtime/first_run.rs	runtime/first_run.rs	19	19	False
answer_quit_card	retained	runtime/focus.rs	runtime/focus.rs	13	13	False
answer_restore	retained	runtime/windows.rs	runtime/windows.rs	82	82	False
answer_restore_prompt	retained	runtime/windows.rs	runtime/windows.rs	8	8	False
append_edge	retained	unassigned	unassigned	11	11	False
apply_acrylic	retained	unassigned	unassigned	16	16	False
apply_always_on_top	retained	unassigned	unassigned	22	22	False
apply_background_image	retained	runtime/preview.rs	runtime/preview.rs	13	13	False
apply_block_max_height	retained	unassigned	unassigned	19	19	False
apply_claude_hooks	retained	runtime/first_run.rs	runtime/first_run.rs	43	67	False
apply_codex_notify	retained	runtime/first_run.rs	runtime/first_run.rs	42	66	False
apply_copilot_hooks	retained	runtime/first_run.rs	runtime/first_run.rs	43	67	False
apply_copy_on_select	retained	runtime/clipboard.rs	runtime/clipboard.rs	5	5	False
apply_cursor_style	retained	runtime/mouse.rs	runtime/mouse.rs	15	15	False
apply_default_profile	retained	runtime/profiles.rs	runtime/profiles.rs	12	12	False
apply_display_formulas	retained	runtime/math.rs	runtime/math.rs	17	17	False
apply_editor_choice	retained	runtime/settings.rs	runtime/settings.rs	190	190	False
apply_explorer_place	retained	unassigned	unassigned	53	53	False
apply_files_results	retained	runtime/files.rs	runtime/files.rs	76	76	False
apply_first_run	retained	runtime/first_run.rs	runtime/first_run.rs	13	13	False
apply_focus_card_height	retained	runtime/focus.rs	runtime/focus.rs	11	11	False
apply_folder_pick_result	retained	runtime/files.rs	runtime/files.rs	51	52	False
apply_git_panel	retained	runtime/git.rs	runtime/git.rs	28	28	False
apply_git_results	retained	runtime/git.rs	runtime/git.rs	296	296	False
apply_image_fit	retained	runtime/preview.rs	runtime/preview.rs	12	12	False
apply_image_pick_result	retained	runtime/preview.rs	runtime/preview.rs	38	38	False
apply_ime_cursor_area	retained	runtime/keyboard.rs	runtime/keyboard.rs	9	20	False
apply_inline_formulas	retained	runtime/math.rs	runtime/math.rs	17	17	False
apply_key_hints	retained	runtime/keyboard.rs	runtime/keyboard.rs	17	17	False
apply_language	retained	runtime/i18n.rs	runtime/i18n.rs	12	12	False
apply_launch_opens	retained	runtime/launch.rs	runtime/launch.rs	5	5	False
apply_line_wrapping	retained	runtime/preview.rs	runtime/preview.rs	21	21	False
apply_math_context_menu_result	retained	runtime/math.rs	runtime/math.rs	17	17	False
apply_math_results	retained	runtime/math.rs	runtime/math.rs	337	339	False
apply_minimum_contrast	retained	unassigned	unassigned	10	10	False
apply_option_sends_alt	retained	unassigned	unassigned	19	19	False
apply_pointer_cursor	retained	runtime/mouse.rs	runtime/mouse.rs	60	62	False
apply_powershell_integration_offer	retained	runtime/first_run.rs	runtime/first_run.rs	8	11	False
apply_preview_results	retained	runtime/preview.rs	runtime/preview.rs	154	154	False
apply_profile_action	retained	runtime/profiles.rs	runtime/profiles.rs	10	10	False
apply_psreadline	retained	runtime/first_run.rs	runtime/first_run.rs	53	59	False
apply_quake_command	retained	runtime/quake.rs	runtime/quake.rs	8	8	False
apply_quake_dismiss	retained	runtime/quake.rs	runtime/quake.rs	8	8	False
apply_quake_profile	retained	runtime/profiles.rs	runtime/profiles.rs	11	11	False
apply_quake_restore	retained	runtime/quake.rs	runtime/quake.rs	8	8	False
apply_repair_row_breaks	added		unassigned		19	False
apply_row_verb	retained	unassigned	unassigned	27	27	False
apply_scale_factor	retained	runtime/dpi.rs	runtime/dpi.rs	51	51	False
apply_scheme	retained	runtime/settings.rs	runtime/settings.rs	30	30	False
apply_scrollback_lines	retained	runtime/terminal.rs	runtime/terminal.rs	21	21	False
apply_search_engine	retained	runtime/search.rs	runtime/search.rs	5	5	False
apply_settings_choice	retained	runtime/settings.rs	runtime/settings.rs	3	3	False
apply_settings_choice_announcing	retained	runtime/settings.rs	runtime/settings.rs	213	284	False
apply_shortcut_edit	retained	runtime/keyboard.rs	runtime/keyboard.rs	29	29	False
apply_slider	retained	unassigned	unassigned	33	33	False
apply_split_direction	retained	runtime/panes.rs	runtime/panes.rs	5	5	False
apply_tables	retained	runtime/tabs.rs	runtime/tabs.rs	17	17	False
apply_terminal_font	retained	runtime/terminal.rs	runtime/terminal.rs	26	35	False
apply_terminal_notifications	retained	runtime/attention.rs	runtime/attention.rs	5	5	False
apply_theme	retained	unassigned	unassigned	15	15	False
apply_theme_mode	retained	unassigned	unassigned	13	13	False
apply_turn_end_notification	retained	runtime/attention.rs	runtime/attention.rs	5	5	False
apply_update_check	retained	unassigned	unassigned	5	5	False
apply_web_outcomes	retained	runtime/web.rs	runtime/web.rs	163	163	False
apply_window_dark_mode	retained	runtime/windows.rs	runtime/windows.rs	12	12	False
apply_window_ground	retained	runtime/windows.rs	runtime/windows.rs	31	31	False
apply_window_min_inner_size	retained	runtime/windows.rs	runtime/windows.rs	16	16	False
arm_card_reads	retained	runtime/focus.rs	runtime/focus.rs	59	59	False
arm_row_press	retained	runtime/mouse.rs	runtime/mouse.rs	20	20	False
armed_file_peek	retained	runtime/peek.rs	runtime/peek.rs	19	19	False
arrange_palette	retained	runtime/palette.rs	runtime/palette.rs	26	26	False
arrival_fits	retained	runtime/launch.rs	runtime/launch.rs	13	13	False
ask_about_the_link_under_the_pointer	added		runtime/mouse.rs		13	False
ask_files_dir	retained	runtime/files.rs	runtime/files.rs	29	29	False
ask_float_directories	retained	runtime/floats.rs	runtime/floats.rs	26	31	False
ask_for_file_indexes	retained	runtime/files.rs	runtime/files.rs	15	15	False
ask_git_for_column	retained	runtime/git.rs	runtime/git.rs	25	25	False
ask_git_for_floats	retained	runtime/git.rs	runtime/git.rs	42	45	False
ask_git_for_graphs	retained	runtime/git.rs	runtime/git.rs	29	29	False
ask_graph_compare	retained	runtime/git.rs	runtime/git.rs	19	19	False
ask_graph_search	retained	runtime/git.rs	runtime/git.rs	36	36	False
ask_the_unwatched_preview_files	retained	runtime/preview.rs	runtime/preview.rs	10	10	False
ask_the_worker_about_a_link_target	added		unassigned		15	False
ask_to_checkout	retained	runtime/git.rs	runtime/git.rs	24	24	False
ask_to_edit_preview_on	retained	runtime/preview.rs	runtime/preview.rs	28	28	False
audible_tabs	retained	runtime/tabs.rs	runtime/tabs.rs	36	36	False
background_image_name	retained	runtime/preview.rs	runtime/preview.rs	10	10	False
background_picture_ceiling	retained	runtime/preview.rs	runtime/preview.rs	13	13	False
begin_drag	retained	runtime/mouse.rs	runtime/mouse.rs	62	63	False
