commit	file	test	start	end	new	classes	sources	subjects	subject_witnesses	destinations	impact	evidence	bindings	needles
1f1d2daa	src/animation.rs	animation::tests::a_declared_screen_this_window_will_not_hold_is_refused_before_it_is_allocated	1708	1744	existing	"[""named body / positive requirement"", ""scoped negative""]"	"[""include_str!(\""animation.rs\"")""]"	"[""open""]"	"{""open"": [{""symbol"": ""impl TabRename::open"", ""start"": 21246, ""end"": 21250, ""moves"": false}]}"	{}	no 2a subject move identified	parsed dependency closure; inferred classification; see test body	"[""src/animation.rs:1709 animation::tests::a_declared_screen_this_window_will_not_hold_is_refused_before_it_is_allocated::SOURCE""]"	"[""\""animation.rs\"""", ""\""\\nfn open(\"""", ""\""the container walk is a free function in this file\"""", ""\""\\n}\\n\"""", ""\""and it ends\"""", ""\""MAX_ANIMATION_SIDE_PX\"""", ""\""the declared screen is judged against the side this window can draw\"""", ""\""MAX_ANIMATION_FRAME_BYTES\"""", ""\""and against what one frame of it would cost\"""", ""\""AnimationCursor::over(\"""", ""\""and the canvas comes after\"""", ""\""the screen is judged before a pixel is allocated:\\n{walk}\"""", ""\""next_frames(\"""", ""\""the judge does not decode: its callers ask for the frames they want:\\n{walk}\"""", ""\""a {side}-square logical screen is over this window's ceiling\""""]"
1f1d2daa	src/animation.rs	animation::tests::a_gif_past_the_encoded_cap_is_not_read_whole	1772	1801	existing	"[""named body / positive requirement"", ""scoped negative""]"	"[""include_str!(\""animation.rs\"")""]"	"[""decode"", ""file_source""]"	"{""decode"": [], ""file_source"": []}"	{}	no 2a subject move identified	parsed dependency closure; inferred classification; see test body	"[""src/animation.rs:1773 animation::tests::a_gif_past_the_encoded_cap_is_not_read_whole::SOURCE""]"	"[""\""animation.rs\"""", ""\""\\npub fn decode(\"""", ""\""\\nfn file_source(\"""", ""\""the file reader is a free function in this file\"""", ""\""\\n}\\n\"""", ""\""and it ends\"""", ""\""fs::read(\"""", ""\""a file is read behind a cap and not whole:\\n{reader}\"""", ""\""past-the-cap\"""", ""\""a file this test owns\"""", ""\""a file of a declared length\"""", ""\""a file past the cap is refused on its length, and says so\""""]"
1f1d2daa	src/animation.rs	animation::tests::the_loop_comes_round_by_seeking_the_file_not_by_holding_it	2436	2484	existing	"[""named body / positive requirement"", ""scoped negative""]"	"[""include_str!(\""animation.rs\"")""]"	"[""start_again""]"	"{""start_again"": []}"	{}	no 2a subject move identified	parsed dependency closure; inferred classification; see test body	"[""src/animation.rs:2460 animation::tests::the_loop_comes_round_by_seeking_the_file_not_by_holding_it::SOURCE""]"	"[""\""the-loop-seeks\"""", ""\""a file-backed animation opens\"""", ""\""the first turn\"""", ""\""and the second, which begins at frame zero again\"""", ""\""animation.rs\"""", ""\""    fn start_again(&mut self) -> bool {\"""", ""\""the loop's own function is in this file\"""", ""\""\\n    }\\n\"""", ""\""and it ends\"""", ""\""restart()\"""", ""\""coming round is a seek on the source:\\n{again}\"""", ""\""Arc::clone(&self.bytes)\"""", ""\""and not a second reader over a held copy of the file:\\n{again}\"""", ""\""pub struct AnimationCursor {\"""", ""\""the cursor is declared in this file\"""", ""\""\\n}\\n\"""", ""\""and it ends\"""", ""\""Arc<[u8]>\"""", ""\""the cursor holds no copy of the file:\\n{declared}\""""]"
1f1d2daa	src/attention_codex.rs	attention_codex::tests::the_only_file_this_writes_is_the_one_the_environment_names	580	608	existing	"[""named body / positive requirement"", ""whole-source prohibition""]"	"[""include_str!(\""attention_codex.rs\"")""]"	[]	{}	{}	no 2a subject move identified	parsed dependency closure; inferred classification; see test body	"[""src/attention_codex.rs:580 attention_codex::tests::the_only_file_this_writes_is_the_one_the_environment_names""]"	"[""r\""D:\\scratch\\codex-home\"""", ""r\""C:\\Users\\someone\"""", ""r\""D:\\scratch\\codex-home\"""", ""\""\"""", ""r\""C:\\Users\\someone\"""", ""r\""C:\\Users\\someone\"""", ""\""\"""", ""\""attention_codex.rs\"""", ""\""current\"""", ""\""_dir\"""", ""\""project\"""", ""\""_dir\"""", ""\""`{reaching}` would let a working directory decide where automation is written\"""", ""r\""D:\\scratch\\codex-home\""""]"
1f1d2daa	src/attention_codex.rs	attention_codex::tests::the_line_this_installs_is_this	616	623	existing	"[""source fixture / path (§6.2(c))""]"	"[""include_str!(\""../../../docs/plans/attention/codex-notify.toml\"")""]"	[]	{}	{}	no 2a subject move identified	parsed dependency closure; inferred classification; see test body	"[""src/attention_codex.rs:626 attention_codex::tests::EXPECTED_LINE""]"	"[""r\""C:\\folio\\folio.exe\""""]"
1f1d2daa	src/attention_codex.rs	attention_codex::tests::an_unreadable_configuration_file_is_never_written_over	771	777	existing	"[""named body / positive requirement""]"	"[""include_str!(\""attention_codex.rs\"")""]"	[]	{}	{}	no 2a subject move identified	parsed dependency closure; inferred classification; see test body	"[""src/attention_codex.rs:771 attention_codex::tests::an_unreadable_configuration_file_is_never_written_over""]"	"[""\""model = = \\\""gpt-5\\\""\\n\"""", ""\""attention_codex.rs\"""", ""\""is not one this build can read\""""]"
1f1d2daa	src/attention_codex.rs	attention_codex::tests::a_configuration_file_that_could_not_be_read_is_never_written_over	789	811	NEW	"[""source fixture / path (§6.2(c))""]"	[]	[]	{}	{}	fixture/manifest input retained in 2a	parsed dependency closure; inferred classification; see test body	[]	"[""\""unreadable\"""", ""b\""# caf\\xe9\\nmodel = \\\""gpt-5\\\""\\n\"""", ""\""the user's own file\"""", ""\""still there\"""", ""\""nothing was written beside it either\"""", ""\""still there\""""]"
1f1d2daa	src/attention_codex.rs	attention_codex::tests::a_configuration_file_that_is_not_there_is_the_one_that_gets_created	815	828	NEW	"[""source fixture / path (§6.2(c))""]"	[]	[]	{}	{}	fixture/manifest input retained in 2a	parsed dependency closure; inferred classification; see test body	[]	"[""\""absent\"""", ""\""a first install leaves one file: no copy of nothing, no temporary\""""]"
1f1d2daa	src/attention_codex.rs	attention_codex::tests::a_configuration_file_that_is_there_is_copied_before_it_is_changed	832	850	NEW	"[""source fixture / path (§6.2(c))""]"	[]	[]	{}	{}	fixture/manifest input retained in 2a	parsed dependency closure; inferred classification; see test body	[]	"[""\""copied\"""", ""\""# mine\\nmodel = \\\""gpt-5\\\""\\n\"""", ""\""the user's own file\"""", ""\""read back\"""", ""\""# mine\"""", ""\""{written}\"""", ""\""{written}\"""", ""\""{CONFIG_FILE}.bak-{}\"""", ""\""the copy\"""", ""\""the copy beside it is the file as it was\""""]"
1f1d2daa	src/attention_copilot.rs	attention_copilot::tests::attention_two_live_copies_require_takeover_and_preserve_bytes	890	921	NEW	"[""source fixture / path (§6.2(c))""]"	[]	[]	{}	{}	fixture/manifest input retained in 2a	parsed dependency closure; inferred classification; see test body	[]	"[""\""CARGO_MANIFEST_DIR\"""", ""\""../../target/tb-tests\"""", ""\""copilot-\"""", ""\""two-copies\"""", ""\""A space $ ` ' 中文\"""", ""\""folio.exe\"""", ""\""B\"""", ""\""folio.exe\"""", ""b\""a copy of Folio\"""", ""\""settings.json\"""", ""\""another live executable must require explicit take-over: {result:?}\"""", ""\""cleanup must leave a live other owner: {result:?}\""""]"
1f1d2daa	src/attention_copilot.rs	attention_copilot::tests::the_only_file_this_writes_is_the_one_the_environment_names	1009	1046	existing	"[""named body / positive requirement"", ""whole-source prohibition""]"	"[""include_str!(\""attention_copilot.rs\"")""]"	[]	{}	{}	no 2a subject move identified	parsed dependency closure; inferred classification; see test body	"[""src/attention_copilot.rs:1009 attention_copilot::tests::the_only_file_this_writes_is_the_one_the_environment_names""]"	"[""r\""D:\\scratch\\copilot-home\"""", ""r\""C:\\Users\\someone\"""", ""r\""D:\\scratch\\copilot-home\"""", ""\""\"""", ""r\""C:\\Users\\someone\"""", ""r\""C:\\Users\\someone\"""", ""\""\"""", ""\""upstream loads *.json from the hooks directory, and only from there\"""", ""\""attention_copilot.rs\"""", ""\""current\"""", ""\""_dir\"""", ""\""project\"""", ""\""_dir\"""", ""\""`{reaching}` would let a working directory decide where automation is written\"""", ""r\""D:\\scratch\\copilot-home\""""]"
1f1d2daa	src/attention_copilot.rs	attention_copilot::tests::the_file_this_installs_is_this	1055	1064	existing	"[""source fixture / path (§6.2(c))""]"	"[""include_str!(\""../../../docs/plans/attention/copilot-hooks.json\"")""]"	[]	{}	{}	no 2a subject move identified	parsed dependency closure; inferred classification; see test body	"[""src/attention_copilot.rs:1067 attention_copilot::tests::EXPECTED_FILE""]"	"[""r\""C:\\folio\\folio.exe\"""", ""\""render\""""]"
1f1d2daa	src/attention_copilot.rs	attention_copilot::tests::the_notification_hook_is_narrowed_to_the_two_subtypes_that_are_waits	1079	1114	existing	"[""source fixture / path (§6.2(c))""]"	[]	[]	{}	{}	fixture/manifest input retained in 2a	parsed dependency closure; inferred classification; see test body	[]	"[""\""hooks\"""", ""\""hooks\"""", ""\""`notification.permission_prompt` is a Folio spelling, not an upstream event name\"""", ""\""notification\"""", ""\""array\"""", ""\""matcher\"""", ""\""permission_prompt\"""", ""\""elicitation_dialog\"""", ""\""the bare subtype name, because upstream anchors it as `^(?:PATTERN)$` itself\"""", ""\""agent_idle\"""", ""\""agent_completed\"""", ""\""shell_completed\"""", ""\""shell_detached_completed\"""", ""\""{refused} is a completion, and a completion is not somebody waiting for you\"""", ""\""userPromptSubmitted\"""", ""\""agentStop\"""", ""\""sessionEnd\"""", ""\""array\"""", ""\""matcher\"""", ""\""{event} has no subtypes\"""", ""\""four upstream event names, five rows\""""]"
1f1d2daa	src/attention_copilot.rs	attention_copilot::tests::every_command_says_which_upstream_it_speaks_for_and_hands_over_nothing	1118	1133	CHANGED	"[""source fixture / path (§6.2(c))""]"	[]	[]	{}	{}	fixture/manifest input retained in 2a	parsed dependency closure; inferred classification; see test body	[]	"[""\""hooks\"""", ""\""exec\"""", ""\""type\"""", ""\""command\"""", ""\""timeoutSec\"""", ""\""args\"""", ""\""attention\"""", ""\""args\"""", ""\""copilot:\"""", ""\""args\"""", ""\""bash\"""", ""\""powershell\"""", ""\""command\""""]"
1f1d2daa	src/attention_copilot.rs	attention_copilot::tests::a_mac_install_writes_direct_exec_without_shell_quoting	1137	1146	NEW	"[""source fixture / path (§6.2(c))""]"	[]	[]	{}	{}	fixture/manifest input retained in 2a	parsed dependency closure; inferred classification; see test body	[]	"[""\""/Users/a $ ` ' 中文/Folio.app/Contents/MacOS/folio\"""", ""\""hooks\"""", ""\""exec\""""]"
1f1d2daa	src/attention_copilot.rs	attention_copilot::tests::what_is_written_never_carries_two_layers_of_one_request	1151	1164	existing	"[""source fixture / path (§6.2(c))""]"	[]	[]	{}	{}	fixture/manifest input retained in 2a	parsed dependency closure; inferred classification; see test body	[]	[]
