fact	class	proposed_owner	module	function	write_kinds	sites	triggers	effects_at_the_write
App.activated	LIFE	windows	main[impl FolioApp]	a_window_for_the_delegate	call:push,call:retain	2	gesture,turn	
App.activated	LIFE	windows	main[impl FolioApp]	land_one_launch_request	call:push,call:retain	2	turn	
App.activated	LIFE	windows	main[impl FolioApp]	reap_leaving_windows	call:retain	1	turn	
App.activated	LIFE	windows	runtime/windows	note_this_window_was_visited	call:push,call:retain	2	os event	
App.copilot_readiness	OBS	first_run	main[impl FolioApp]	user_event	assign	1	lane answer	frame,lane request
App.copilot_readiness	OBS	first_run	runtime/first_run	apply_copilot_hooks	assign	1	gesture,turn	frame
App.device_loss_pilot	LIFE	frame	runtime/frame	redraw	call:a_frame_reached_the_glass	1	PTY output,gesture,lane answer,launch,os event,turn	frame,lane request
App.device_loss_pilot	LIFE	frame	runtime/preview	present_retained_picture	call:a_frame_reached_the_glass	1	PTY output,gesture,lane answer,launch,os event,turn	frame
App.drag_broker	VIEW	mouse	main[impl FolioApp]	drive_drag_broker	assign,call:as_mut	5	turn	file write,frame
App.drag_broker	VIEW	mouse	main[unassigned]	open_broker	assign	1	gesture,lane answer	
App.drag_broker	VIEW	mouse	runtime/frame	publish_to_broker	call:as_mut	1	gesture,lane answer,turn	
App.drag_broker	VIEW	mouse	runtime/mouse	drive_drag	assign	1	gesture,lane answer,turn	frame
App.drag_broker	VIEW	mouse	runtime/mouse	finish_drag	assign	1	gesture,turn	frame
App.drag_broker	VIEW	mouse	runtime/tabs	close_tab	assign	1	PTY output,gesture,lane answer,launch,os event,turn	file write,frame
App.explorer_package_asked_by	ASYNC	first_run	main[impl FolioApp]	user_event	call:take	1	lane answer	frame,lane request
App.explorer_package_asked_by	ASYNC	first_run	runtime/first_run	request_explorer_package	assign	1	gesture,turn	
App.favicons_changed	PROJ	web	main[impl FolioApp]	user_event	&mut	1	lane answer	frame,lane request
App.favicons_changed	PROJ	web	runtime/web	apply_web_outcomes	assign	1	PTY output,gesture,lane answer,launch,os event,turn	file write,frame
App.file_indexes	OBS	files	main[impl FolioApp]	retain_file_indexes	call:retain	1	lane answer	
App.file_indexes	OBS	files	runtime/files	advance_files_watch	call:mark_dirty	1	turn	lane request
App.files_worker_notice_pending	LIFE	files	main[impl FolioApp]	drain_files_answers	&mut	1	lane answer	
